,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,-95.84680114888982,-99.06815875560356,-102.21729439555446,-105.50835918595628,-108.83668397671629,-110.94753917728988,-112.7696105379176,-113.95249728222804,-114.72565993580817,-114.51490838705622,-114.6696144969652,-112.34185449806529,-108.72389529162476,-107.08740368697813,-102.66751304298052,-98.21146749553387,-94.22196665316847,-91.75319288268824,-90.19286300348982,-88.22057371779198,-85.20224842871855,-80.2226455272769,-83.02630267035276,-79.47547556776914,-82.26172007074493,-84.61515379613171,-85.35383442384095,-86.04999334866478,-84.38598461019261,-83.06059707098277
1,-95.83730450891963,-98.94877401679989,-102.13702108749496,-105.55315522221062,-108.89404651961975,-111.11527564878514,-112.68795944774985,-113.94420508754546,-114.74922407674269,-114.61291344338578,-114.67484205922595,-112.42022403590731,-108.65120424796224,-106.95372237724652,-102.83424138647177,-98.28017907805992,-94.11988595656526,-91.73432644012749,-90.08940485668539,-88.21047987025418,-85.1689541764029,-80.15784237197846,-83.02865744108284,-79.418646000014,-82.25074614036498,-84.69935041709329,-85.43911311181509,-85.98004705485916,-84.37448432050574,-83.08450088995936
2,-95.82043099605046,-99.07455143931611,-102.13731772724692,-105.67398311409022,-108.93601924031954,-111.17251424157307,-112.79320755957656,-113.90839114581232,-114.83156193107166,-114.67062784731074,-114.54831275233562,-112.52672078694198,-108.58107918727136,-106.9687502620688,-102.87877084021726,-98.34610229023032,-93.95582618567265,-91.81969372834293,-89.99980556228479,-88.20682198293368,-85.18481286139237,-80.13987390814926,-83.05345435178968,-79.37504172742135,-82.26609086244876,-84.73820720789486,-85.25898699408927,-86.0986101427955,-84.6507840530396,-82.9717211054634
3,-96.07216130854896,-98.98301237410074,-101.92516517602454,-105.43382389046923,-109.19660862376212,-110.94872088355531,-112.9543762501861,-113.92694776807683,-115.03160545980953,-114.7759080797722,-114.4733654926753,-112.249895148046,-108.50820834730924,-107.07416972297088,-102.6617414720495,-98.20851760721291,-94.01399160433527,-91.90706281766654,-89.79597851554153,-88.29068890668282,-85.145697989183,-79.89538154800034,-83.09305195769186,-79.2662125953864,-82.20119820973463,-84.88462167418713,-85.11167956506532,-85.92013685267578,-84.44733467120852,-83.12096521675245
4,-96.25827681935276,-99.09115368285056,-101.79776945544754,-105.30662576255413,-109.237117066786,-110.89001828905067,-113.12198307600828,-113.82882614136231,-114.93499838355447,-114.60159640383495,-114.66167586621854,-112.38557463569568,-108.14650144035195,-107.00820908199918,-102.82891463159851,-98.17896137280606,-94.16712641030047,-91.81902143419163,-89.83213986087087,-88.22116422359504,-85.24154449841441,-80.04276226903532,-83.01918717732131,-79.32425818756613,-82.11183891479001,-84.84427607127722,-85.16836070157282,-85.83441233338759,-84.50736856735716,-83.17796657549471
5,-96.24806780439023,-99.05001624633576,-101.80554120332586,-105.19939476570993,-109.31857199481854,-110.73611416524191,-113.17761983779606,-113.8065284084271,-114.89865143631039,-114.65253970297829,-114.80695229611882,-112.33770734728284,-107.927993902332,-106.93965932507535,-102.73847983486404,-98.30317338529758,-94.066480290039,-91.93349503040955,-89.84769532038409,-88.19869567553258,-85.21625062649855,-80.09347655382516,-82.71018241403615,-79.2887694859368,-82.12933498775467,-84.83137960785338,-85.09603706864314,-85.63125631132765,-84.50395475091571,-83.059123223957
6,-96.08819546817571,-99.01530853916223,-101.81572386973767,-105.26013428882398,-109.35379105829068,-110.96812600353951,-113.11085556703391,-113.71693075171721,-115.02536563331145,-114.4764469197142,-114.63637203558217,-112.59029783525368,-107.93306841948879,-106.77831876202153,-102.78531232378444,-98.44712426858676,-93.8760977126121,-91.7636337690469,-89.71741438268525,-88.12749853904437,-85.24770196490553,-80.13256948204754,-82.4934475356107,-79.22610064526252,-82.11272096448175,-84.86245127832156,-84.94413876758372,-85.667471523584,-84.36509628481858,-82.91051005035811
7,-96.2755283804113,-98.71387661037312,-101.93978828510151,-105.13365937109286,-109.55609689375518,-111.02686747752101,-113.02967575619455,-113.1366478478711,-115.36195304770031,-114.64455421238533,-114.43316997785588,-112.53451873004045,-107.75185477008877,-106.96387614448517,-102.83139616572177,-98.39705161357185,-93.57673409044088,-91.57749544040598,-89.98030755072348,-87.87585681665456,-85.64706902596674,-79.87615749281632,-82.4545766109813,-79.43746217205302,-82.26467530739889,-84.82569033262725,-84.87552051451058,-85.69967460246934,-84.63772608098557,-82.82122151829488
8,-96.29340534312446,-98.73248765094726,-101.9547342017022,-105.1256007939291,-109.42739297944354,-111.06806895314119,-112.98741603044228,-113.2939921331067,-115.3034369813184,-114.62437455919722,-114.42071943067067,-112.60546528764915,-107.84238651627967,-106.92069826517843,-102.85082356772561,-98.53712285222055,-93.66082284820604,-91.61175085151717,-89.75053060942616,-88.04818331806109,-85.64817458979837,-79.85156952187822,-82.48605455582423,-79.48007910614591,-82.30374489350378,-84.71252304256268,-84.90492862938629,-85.75275530748893,-84.50080872361511,-82.9214180388414
9,-96.30010437983493,-98.70354461689298,-102.16885959716915,-105.08507922146617,-109.20311516473949,-111.03111279858828,-113.03760150819667,-113.27964682064436,-115.39301565231501,-114.50048219042257,-114.5260094106096,-112.73935127430107,-107.78869100175723,-106.97485828953599,-102.91352985957023,-98.60757660364025,-93.72801773977453,-91.65405329419787,-89.58426977113768,-88.1273079044991,-85.65459790309427,-79.65746270271141,-82.27361856866584,-79.5201199043228,-82.21840314169562,-84.66849313819614,-84.85745810206846,-85.71259057480025,-84.52001816811664,-83.01352772409504
